Country,Code,Region,PM2.5,HDI,HDI_Group,LifeExp
Afghanistan,AFG,Asia,46.0870936659706,0.501,Low,61.4537
Albania,ALB,Europe,15.7070036417042,0.794,High,77.8241
Algeria,DZA,Africa,25.5526558310447,0.742,High,73.2568
Andorra,AND,Europe,9.08028059086901,0.851,Very High,79.4177
Angola,AGO,Africa,25.1452381976267,0.61,Medium,63.1164
Antigua and Barbuda,ATG,North America,19.6982695582914,0.84,Very High,77.1613
Argentina,ARG,South America,14.9081737974407,0.851,Very High,75.8781
Armenia,ARM,Asia,30.5796334750125,0.761,High,68.8898
Australia,AUS,Oceania,8.25171746070811,0.95,Very High,83.6639
Austria,AUT,Europe,10.9335136815146,0.925,Very High,81.8037
Azerbaijan,AZE,Asia,21.7269999756599,0.757,High,70.3116
"Bahamas, The",BHS,North America,18.9393918728687,0.797,High,72.9936
Bahrain,BHR,Asia,58.4950629834781,0.885,Very High,78.6833
Bangladesh,BGD,Asia,42.3813762359965,0.663,Medium,71.4211
Barbados,BRB,North America,23.7309657842996,0.803,Very High,76.6465
Belarus,BLR,Europe,14.6089903841381,0.815,Very High,72.269
Belgium,BEL,Europe,11.2160664677018,0.939,Very High,80.7977
Belize,BLZ,North America,28.6518070195516,0.713,High,71.5801
Benin,BEN,Africa,51.0478241974862,0.504,Low,60.154
Bhutan,BTN,Asia,23.9456576369223,0.688,Medium,72.2531
Bolivia,BOL,South America,22.879459074231,0.697,Medium,62.906
Bosnia and Herzegovina,BIH,Europe,26.6019532713554,0.783,High,76.0395
Botswana,BWA,Africa,18.9057549925814,0.718,High,67.6426
Brazil,BRA,South America,12.1793252040724,0.77,High,74.5058
Brunei Darussalam,BRN,Asia,7.59726503432135,0.836,Very High,75.1138
Bulgaria,BGR,Europe,17.1474236131426,0.826,Very High,73.5992
Burkina Faso,BFA,Africa,58.4706762025055,0.453,Low,60.4536
Burundi,BDI,Africa,29.6541345084659,0.435,Low,62.5694
Cabo Verde,CPV,Africa,42.3225220905558,0.647,Medium,73.8177
Cambodia,KHM,Asia,24.1436022803452,0.595,Medium,70.0594
Cameroon,CMR,Africa,39.8126251004519,0.579,Medium,61.6738
Canada,CAN,North America,6.56566994375263,0.931,Very High,81.6536
Central African Republic,CAF,Africa,34.4334184466457,0.386,Low,50.5959
Chad,TCD,Africa,49.1388484128027,0.408,Low,53.0818
Chile,CHL,South America,23.2750668049145,0.856,Very High,79.3488
China,CHN,Asia,34.8105237153218,0.786,High,78.0191
Colombia,COL,South America,14.1832514905064,0.764,High,74.7565
Comoros,COM,Africa,11.9332724091044,0.592,Medium,65.7559
"Congo, Dem. Rep.",COD,Africa,26.6494833206385,0.506,Low,60.4283
"Congo, Rep.",COG,Africa,28.5737499496554,0.643,Medium,64.3907
Costa Rica,CRI,North America,14.3075712471404,0.819,Very High,79.7252
Cote d'Ivoire,CIV,Africa,49.4977827339493,0.553,Medium,60.1397
Croatia,HRV,Europe,16.1208592960264,0.867,Very High,77.4972
Cuba,CUB,North America,21.2367242811561,0.762,High,77.4075
Cyprus,CYP,Europe,13.508701890821,0.905,Very High,81.2302
Czechia,CZE,Europe,14.1110711384133,0.898,Very High,78.237
Denmark,DNK,Europe,9.06983927345931,0.954,Very High,81.5458
Djibouti,DJI,Africa,35.9243304831101,0.499,Low,64.2001
Dominica,DMA,North America,20.6672998234563,0.753,High,71.2693
Dominican Republic,DOM,North America,19.8267440369685,0.767,High,72.6358
Ecuador,ECU,South America,16.6570210758922,0.74,High,72.0036
"Egypt, Arab Rep.",EGY,Africa,54.8587056496436,0.736,High,69.7897
El Salvador,SLV,North America,20.0287144500145,0.66,Medium,70.2436
Equatorial Guinea,GNQ,Africa,35.3790521811967,0.668,Medium,62.1408
Eritrea,ERI,Africa,32.3515206386852,0.495,Low,66.9802
Estonia,EST,Europe,6.14573290973003,0.901,Very High,78.8929
Eswatini,SWZ,Africa,18.7831211422857,0.657,Medium,59.8618
Ethiopia,ETH,Africa,27.3053276470482,0.486,Low,65.9688
Fiji,FJI,Oceania,12.4187981716598,0.718,High,66.924
Finland,FIN,Europe,4.89518090216668,0.947,Very High,81.8219
France,FRA,Europe,9.60038144780495,0.909,Very High,82.1993
Gabon,GAB,Africa,29.9548734558765,0.732,High,67.0725
"Gambia, The",GMB,Africa,58.3640402179659,0.512,Low,64.4183
Georgia,GEO,Asia,17.0438421058507,0.822,Very High,73.5094
Germany,DEU,Europe,10.2876894329414,0.955,Very High,81.0036
Ghana,GHA,Africa,54.2427873097724,0.614,Medium,64.3089
Greece,GRC,Europe,14.4089280374361,0.896,Very High,81.5361
Grenada,GRD,North America,24.6572416056476,0.782,High,75.019
Guatemala,GTM,North America,21.6357355920496,0.645,Medium,69.9707
Guinea,GIN,Africa,43.7674450148382,0.488,Low,59.3499
Guinea-Bissau,GNB,Africa,50.2127655060307,0.498,Low,61.343
Guyana,GUY,South America,25.460668047299,0.722,High,67.751
Haiti,HTI,North America,21.3502554448061,0.555,Medium,63.773
Honduras,HND,North America,20.3136833896573,0.625,Medium,70.864
Hungary,HUN,Europe,14.1364995764273,0.857,Very High,75.7302
Iceland,ISL,Europe,5.10554827500189,0.965,Very High,82.7113
India,IND,Asia,48.3948115195574,0.652,Medium,70.1563
Indonesia,IDN,Asia,17.8814994983985,0.71,High,68.8173
"Iran, Islamic Rep.",IRN,Asia,32.2873733599003,0.775,High,74.1406
Iraq,IRQ,Asia,38.1750699787954,0.68,Medium,69.6506
Ireland,IRL,Europe,8.17058601306707,0.948,Very High,82.3897
Israel,ISR,Asia,18.5982756348314,0.912,Very High,82.6997
Italy,ITA,Europe,14.6586386239905,0.899,Very High,82.1814
Jamaica,JAM,North America,17.413637041591,0.711,High,71.4519
Japan,JPN,Asia,12.835201662985,0.922,Very High,84.6703
Jordan,JOR,Asia,28.7737639174179,0.743,High,75.5831
Kazakhstan,KAZ,Asia,20.0278724259165,0.826,Very High,71.1952
Kenya,KEN,Africa,24.3917906517518,0.6,Medium,61.5958
Kiribati,KIR,Oceania,11.2568272545112,0.632,Medium,65.2046
"Korea, Rep.",KOR,Asia,25.9439899531653,0.928,Very High,83.6752
Kuwait,KWT,Asia,53.7151434413218,0.837,Very High,78.2483
Kyrgyz Republic,KGZ,Asia,24.3817252281764,0.7,High,69.136
Lao PDR,LAO,Asia,22.3176670505669,0.616,Medium,68.3386
Latvia,LVA,Europe,11.6020322023647,0.879,Very High,75.4781
Lebanon,LBN,Asia,19.2310172881236,0.75,High,76.2988
Lesotho,LSO,Africa,23.4391013240086,0.537,Low,55.1325
Liberia,LBR,Africa,42.3616590279287,0.498,Low,61.2672
Libya,LBY,Africa,32.9707065002742,0.688,Medium,72.3882
Lithuania,LTU,Europe,9.21893860360944,0.888,Very High,75.105
Luxembourg,LUX,Europe,8.67476189540246,0.916,Very High,81.4108
Madagascar,MDG,Africa,12.7535199510191,0.483,Low,62.706
Malawi,MWI,Africa,23.6983194353464,0.512,Low,65.2159
Malaysia,MYS,Asia,16.1938532237922,0.81,Very High,76.0566
Maldives,MDV,Asia,12.0123911668511,0.73,High,78.713
Mali,MLI,Africa,56.7830489222988,0.414,Low,58.8577
Malta,MLT,Europe,11.7226648774147,0.903,Very High,82.3358
Marshall Islands,MHL,Oceania,10.7256194470999,0.722,High,65.3873
Mauritania,MRT,Africa,70.8224442103687,0.554,Medium,66.7943
Mauritius,MUS,Africa,9.15296880580014,0.795,High,74.6572
Mexico,MEX,North America,14.9923440243315,0.763,High,70.4492
"Micronesia, Fed. Sts.",FSM,Oceania,12.1144203347628,0.609,Medium,65.8776
Moldova,MDA,Europe,14.7583463021422,0.77,High,69.9144
Mongolia,MNG,Asia,29.6547866481682,0.741,High,70.0291
Montenegro,MNE,Europe,17.9824100566499,0.841,Very High,75.8503
Morocco,MAR,Africa,21.3212642117301,0.683,Medium,73.1327
Mozambique,MOZ,Africa,20.0802484321177,0.477,Low,61.3904
Myanmar,MMR,Asia,32.3150340028667,0.609,Medium,66.6121
Namibia,NAM,Africa,19.9945355710926,0.647,Medium,64.0712
Nauru,NRU,Oceania,6.06435493209495,0.684,Medium,61.5271
Nepal,NPL,Asia,45.7207706412594,0.599,Medium,69.1065
Netherlands,NLD,Europe,10.8892498470498,0.945,Very High,81.3931
New Zealand,NZL,Oceania,6.48591499675774,0.94,Very High,82.6628
Nicaragua,NIC,North America,16.809772538789,0.676,Medium,70.7662
Niger,NER,Africa,85.1223455605238,0.404,Low,59.8903
Nigeria,NGA,Africa,56.5313287289257,0.547,Low,53.0724
North Macedonia,MKD,Europe,26.118651401474,0.783,High,74.4687
Norway,NOR,Europe,6.05589724673443,0.969,Very High,83.1953
Oman,OMN,Asia,39.5835768902765,0.843,Very High,77.7634
Pakistan,PAK,Asia,42.9981734249878,0.536,Low,65.7015
Palau,PLW,Oceania,7.32770979431049,0.799,High,68.6889
Panama,PAN,North America,11.4700607490209,0.808,Very High,76.3302
Papua New Guinea,PNG,Oceania,17.3105425567239,0.567,Medium,65.075
Paraguay,PRY,South America,10.0891599097852,0.742,High,72.7197
Peru,PER,South America,27.0356284968814,0.769,High,73.8315
Philippines,PHL,Asia,20.2887417122616,0.699,Medium,70.0974
Poland,POL,Europe,17.9583314936851,0.88,Very High,76.5951
Portugal,PRT,Europe,8.45242266236737,0.87,Very High,81.3664
Qatar,QAT,Asia,75.6630329481338,0.872,Very High,80.4095
Romania,ROU,Europe,14.8501731264834,0.832,Very High,74.0464
Russian Federation,RUS,Europe,11.2727775886895,0.818,Very High,71.1705
Rwanda,RWA,Africa,31.2882654917538,0.555,Medium,66.9534
Samoa,WSM,Oceania,12.5518952802963,0.708,High,70.7265
San Marino,SMR,Europe,10.6908983278922,0.895,Very High,82.6495
Sao Tome and Principe,STP,Africa,27.3357522767854,0.628,Medium,67.979
Saudi Arabia,SAU,Asia,53.1486013629285,0.875,Very High,77.5962
Senegal,SEN,Africa,63.7402211262202,0.522,Low,67.4961
Serbia,SRB,Europe,22.5075355689004,0.809,Very High,74.5065
Seychelles,SYC,Africa,8.49983857722866,0.853,Very High,74.0912
Sierra Leone,SLE,Africa,43.2210935036927,0.454,Low,59.6935
Singapore,SGP,Asia,13.8691955865476,0.944,Very High,83.6607
Slovak Republic,SVK,Europe,15.3916194257365,0.867,Very High,76.8643
Slovenia,SVN,Europe,14.2911527506818,0.918,Very High,80.3641
Solomon Islands,SLB,Oceania,13.9542830081778,0.579,Medium,69.2577
South Africa,ZAF,Africa,23.753069242361,0.724,High,65.1502
South Sudan,SSD,Africa,30.7373478613476,0.398,Low,57.6479
Spain,ESP,Europe,9.58105460690675,0.901,Very High,82.2413
Sri Lanka,LKA,Asia,19.9644408635608,0.78,High,76.9281
St. Kitts and Nevis,KNA,North America,8.5943079884613,0.828,Very High,71.1814
St. Lucia,LCA,North America,23.7585855502375,0.734,High,72.3077
St. Vincent and the Grenadines,VCT,North America,23.9262758481858,0.781,High,69.6051
Sudan,SDN,Africa,45.8349025581217,0.513,Low,65.1237
Suriname,SUR,South America,27.3059698425997,0.714,High,72.3208
Sweden,SWE,Europe,5.63670790600148,0.951,Very High,82.4271
Switzerland,CHE,Europe,9.06104968621636,0.963,Very High,83.0626
Syrian Arab Republic,SYR,Asia,24.7058382627422,0.57,Medium,71.944
Tajikistan,TJK,Asia,37.0534062306267,0.664,Medium,68.6054
Tanzania,TZA,Africa,25.081431153535,0.554,Medium,66.7712
Thailand,THA,Asia,31.0072016277159,0.798,High,77.3314
Timor-Leste,TLS,Asia,17.4104661970888,0.65,Medium,66.9191
Togo,TGO,Africa,51.6661369398223,0.554,Medium,61.1225
Tonga,TON,Oceania,12.4784129504796,0.765,High,72.3787
Trinidad and Tobago,TTO,North America,25.6022583642289,0.8,Very High,72.645
Tunisia,TUN,Africa,24.1829826735327,0.733,High,75.0035
Turkiye,TUR,Asia,21.6120469179783,0.838,Very High,76.5255
Turkmenistan,TKM,Asia,19.5997611438189,0.744,High,68.8457
Tuvalu,TUV,Oceania,5.91780105591262,0.681,Medium,66.3567
Uganda,UGA,Africa,33.8077192571642,0.571,Medium,66.4098
Ukraine,UKR,Europe,14.90010098879,0.783,High,73.2833
United Arab Emirates,ARE,Asia,36.3055030826594,0.909,Very High,81.9363
United Kingdom,GBR,Europe,9.91288560282114,0.93,Very High,80.3854
United States,USA,North America,7.81485752365112,0.925,Very High,77.0115
Uruguay,URY,South America,10.5717923259135,0.837,Very High,78.3811
Uzbekistan,UZB,Asia,31.9604294559849,0.723,High,71.4613
Vanuatu,VUT,Oceania,14.0824115364695,0.617,Medium,70.3845
"Venezuela, RB",VEN,South America,15.2565796212874,0.699,Medium,72.3693
Viet Nam,VNM,Asia,20.8010641731194,0.755,High,75.3832
West Bank and Gaza,PSE,Asia,26.3636264444046,0.718,High,74.9978
"Yemen, Rep.",YEM,Asia,34.8323598356099,0.459,Low,66.4354
Zambia,ZMB,Africa,24.3085919008655,0.578,Medium,63.3607
Zimbabwe,ZWE,Africa,19.4941796611344,0.582,Medium,61.53
